dataset,accuracy,precision,recall,f1,auc
analcatdata_aids,0.700000,0.666667,0.500000,0.571429,0.708333
analcatdata_asbestos,0.588235,0.375000,0.600000,0.461538,0.575000
analcatdata_bankruptcy,0.500000,0.400000,0.500000,0.444444,0.583333
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.878788
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.677083
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.911765
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.675000
analcatdata_japansolvent,0.636364,1.000000,0.428571,0.600000,0.678571
labor,0.666667,0.636364,1.000000,0.777778,0.971429
lupus,0.666667,1.000000,0.142857,0.250000,0.584416
parity5,0.142857,0.200000,0.333333,0.250000,0.083333
postoperative_patient_data,0.722222,0.000000,0.000000,0.000000,0.338462
analcatdata_boxing1,0.500000,0.478261,1.000000,0.647059,0.769231
analcatdata_boxing2,0.481481,0.526316,0.666667,0.588235,0.522222
appendicitis,0.909091,0.000000,0.000000,0.000000,0.650000
backache,0.888889,0.000000,0.000000,0.000000,0.812500
corral,0.875000,0.928571,0.812500,0.866667,0.949219
glass2,0.818182,1.000000,0.571429,0.727273,0.845865
hepatitis,0.806452,0.806452,1.000000,0.892857,0.740000
molecular_biology_promoters,0.681818,0.571429,0.888889,0.695652,0.923077
mux6,0.692308,0.636364,0.636364,0.636364,0.812121
prnn_crabs,0.650000,0.583333,0.777778,0.666667,0.762626
analcatdata_lawsuit,0.943396,0.000000,0.000000,0.000000,0.813333
biomed,0.738095,0.694444,1.000000,0.819672,0.931765
breast_cancer,0.758621,0.000000,0.000000,0.000000,0.632305
heart_h,0.813559,0.805556,0.878788,0.840580,0.899767
heart_statlog,0.814815,0.826087,0.760000,0.791667,0.896552
hungarian,0.813559,0.722222,0.684211,0.702703,0.860526
prnn_synth,0.860000,0.833333,0.925926,0.877193,0.871176
sonar,0.761905,0.761905,0.761905,0.761905,0.795918
spect,0.777778,0.777778,1.000000,0.875000,0.500000
bupa,0.463768,0.342105,0.520000,0.412698,0.480909
cleve,0.704918,0.565217,0.619048,0.590909,0.760714
colic,0.729730,0.736842,0.893617,0.807692,0.717494
haberman,0.741935,0.000000,0.000000,0.000000,0.527174
heart_c,0.754098,0.787879,0.764706,0.776119,0.839869
horse_colic,0.743243,0.681818,0.555556,0.612245,0.795902
ionosphere,0.929577,0.936170,0.956522,0.946237,0.971304
spectf,0.814286,0.833333,0.918367,0.873786,0.875607
clean1,0.968750,0.951220,0.975000,0.962963,0.991518
house_votes_84,0.735632,0.651163,0.777778,0.708861,0.805556
irish,0.850000,0.846154,0.785714,0.814815,0.917693
saheart,0.688172,0.500000,0.275862,0.355556,0.710668
vote,0.919540,0.861111,0.939394,0.898551,0.980920
