dataset,accuracy,precision,recall,f1,auc,group
analcatdata_aids,0.6,0,0,0,0.25,1
analcatdata_asbestos,0.705882353,0,0,0,0.716666667,1
analcatdata_bankruptcy,0.9,1,0.75,0.857142857,1,1
analcatdata_creditscore,1,1,1,1,1,1
analcatdata_cyyoung8092,0.6,0,0,0,0.854166667,1
analcatdata_cyyoung9302,0.894736842,0,0,0,0.852941176,1
analcatdata_fraud,0.444444444,0,0,0,0.65,1
analcatdata_japansolvent,0.636363636,0.636363636,1,0.777777778,0.75,1
labor,0.583333333,0.583333333,1,0.736842105,0.885714286,1
lupus,0.611111111,0.5,0.142857143,0.222222222,0.701298701,1
parity5,0.142857143,0.2,0.333333333,0.25,0,1
postoperative_patient_data,0.722222222,0,0,0,0.307692308,1
analcatdata_boxing1,0.458333333,0.458333333,1,0.628571429,0.48951049,2
analcatdata_boxing2,0.703703704,0.818181818,0.6,0.692307692,0.744444444,2
appendicitis,0.863636364,0.333333333,0.5,0.4,0.925,2
backache,0.888888889,0,0,0,0.5625,2
corral,1,1,1,1,1,2
glass2,0.363636364,0.230769231,0.214285714,0.222222222,0.364661654,2
hepatitis,0.806451613,0.806451613,1,0.892857143,0.713333333,2
molecular_biology_promoters,0.818181818,0.727272727,0.888888889,0.8,0.923076923,2
mux6,0.769230769,0.777777778,0.636363636,0.7,0.872727273,2
prnn_crabs,0.45,0.45,1,0.620689655,0.818181818,2
analcatdata_lawsuit,0.943396226,0,0,0,0.893333333,3
biomed,0.595238095,0.595238095,1,0.746268657,0.588235294,3
breast_cancer,0.810344828,0.666666667,0.428571429,0.52173913,0.79788961,3
heart_h,0.559322034,0.559322034,1,0.717391304,0.70979021,3
heart_statlog,0.592592593,0.578947368,0.44,0.5,0.697931034,3
hungarian,0.677966102,0,0,0,0.669736842,3
prnn_synth,0.86,0.916666667,0.814814815,0.862745098,0.937198068,3
sonar,0.738095238,0.777777778,0.666666667,0.717948718,0.866213152,3
spect,0.851851852,0.886363636,0.928571429,0.906976744,0.895833333,3
bupa,0.623188406,0.470588235,0.32,0.380952381,0.605454545,4
cleve,0.721311475,0.625,0.476190476,0.540540541,0.8,4
colic,0.581081081,0.66,0.70212766,0.680412371,0.532702916,4
haberman,0.741935484,0,0,0,0.64673913,4
heart_c,0.639344262,0.630434783,0.852941176,0.725,0.640522876,4
horse_colic,0.594594595,0.411764706,0.259259259,0.318181818,0.535855004,4
ionosphere,0.929577465,0.936170213,0.956521739,0.946236559,0.986086957,4
spectf,0.7,0.7,1,0.823529412,0.828960155,4
clean1,0.9375,0.925,0.925,0.925,0.986607143,5
house_votes_84,0.91954023,0.939393939,0.861111111,0.898550725,0.994008715,5
irish,0.64,0.575,0.547619048,0.56097561,0.663793103,5
saheart,0.677419355,0.444444444,0.137931034,0.210526316,0.69612069,5
vote,0.91954023,0.842105263,0.96969697,0.901408451,0.995510662,5
